Part,Section,Financial_Figure
Part_2_PART_II,Section_1_Item_5._Market_for_Registrants_Common_Equity_Related_Stockholder_Matters_and_Issuer_Purchases_of_Equ,$110 billion
Part_2_PART_II,Section_1_Item_5._Market_for_Registrants_Common_Equity_Related_Stockholder_Matters_and_Issuer_Purchases_of_Equ,$20.9 billion
Part_2_PART_II,Section_1_Item_5._Market_for_Registrants_Common_Equity_Related_Stockholder_Matters_and_Issuer_Purchases_of_Equ,$4.1 billion
Part_2_PART_II,Section_2_Item_7._Managements_Discussion_and_Analysis_of_Financial_Condition_and_Results_of_Operations,$1.2 billion
Part_2_PART_II,Section_2_Item_7._Managements_Discussion_and_Analysis_of_Financial_Condition_and_Results_of_Operations,$10.2 billion
Part_2_PART_II,Section_2_Item_7._Managements_Discussion_and_Analysis_of_Financial_Condition_and_Results_of_Operations,$10.2 billion
Part_2_PART_II,Section_3_Item_7A._Quantitative_and_Qualitative_Disclosures_About_Market_Risk,$538 million
Part_2_PART_II,Section_3_Item_7A._Quantitative_and_Qualitative_Disclosures_About_Market_Risk,$669 million
Part_2_PART_II,Section_4_Item_8._Financial_Statements_and_Supplementary_Data,$22.0 billion
Part_2_PART_II,Section_4_Item_8._Financial_Statements_and_Supplementary_Data,$10.8 billion
