Part,Section,File_Name,Content_Length,Word_Count,Financial_Metrics_Found,Business_Segments_Found,Has_Risk_Factors
1 PART I,Section_1_Item_1._Business,Section_1_Item_1._Business.txt,15757,2329,1,6,False
1 PART I,Section_2_Item_1A._Risk_Factors,Section_2_Item_1A._Risk_Factors.txt,68763,9919,0,4,True
1 PART I,Section_3_Item_1C._Cybersecurity,Section_3_Item_1C._Cybersecurity.txt,2736,380,0,0,False
1 PART I,Section_4_Item_2._Properties,Section_4_Item_2._Properties.txt,483,75,0,0,False
1 PART I,Section_5_Item_3._Legal_Proceedings,Section_5_Item_3._Legal_Proceedings.txt,4338,674,1,1,False
2 PART II,Section_1_Item_5._Market_for_Registrants_Common_Equity_Related_Stockholder_Matters_and_Issuer_Purchases_of_Equ,Section_1_Item_5._Market_for_Registrants_Common_Equity_Related_Stockholder_Matters_and_Issuer_Purchases_of_Equ.txt,3320,431,1,0,False
2 PART II,Section_2_Item_7._Managements_Discussion_and_Analysis_of_Financial_Condition_and_Results_of_Operations,Section_2_Item_7._Managements_Discussion_and_Analysis_of_Financial_Condition_and_Results_of_Operations.txt,16613,2430,2,6,False
2 PART II,Section_3_Item_7A._Quantitative_and_Qualitative_Disclosures_About_Market_Risk,Section_3_Item_7A._Quantitative_and_Qualitative_Disclosures_About_Market_Risk.txt,3137,460,2,1,True
2 PART II,Section_4_Item_8._Financial_Statements_and_Supplementary_Data,Section_4_Item_8._Financial_Statements_and_Supplementary_Data.txt,73028,9047,3,6,False
2 PART II,Section_5_Item_9A._Controls_and_Procedures,Section_5_Item_9A._Controls_and_Procedures.txt,4499,652,0,0,False
2 PART II,Section_6_Item_9B._Other_Information,Section_6_Item_9B._Other_Information.txt,1337,208,0,0,False
3 PART III,Section_1_Item_10._Directors_Executive_Officers_and_Corporate_Governance,Section_1_Item_10._Directors_Executive_Officers_and_Corporate_Governance.txt,1029,152,0,0,False
3 PART III,Section_2_Item_11._Executive_Compensation,Section_2_Item_11._Executive_Compensation.txt,156,24,0,0,False
3 PART III,Section_3_Item_12._Security_Ownership_of_Certain_Beneficial_Owners_and_Management_and_Related_Stockholder_Matt,Section_3_Item_12._Security_Ownership_of_Certain_Beneficial_Owners_and_Management_and_Related_Stockholder_Matt.txt,228,34,0,0,False
3 PART III,Section_4_Item_13._Certain_Relationships_and_Related_Transactions_and_Director_Independence,Section_4_Item_13._Certain_Relationships_and_Related_Transactions_and_Director_Independence.txt,207,30,0,0,False
3 PART III,Section_5_Item_14._Principal_Accountant_Fees_and_Services,Section_5_Item_14._Principal_Accountant_Fees_and_Services.txt,205,35,0,1,False
4 PART IV,Section_1_Item_15._Exhibit_and_Financial_Statement_Schedules,Section_1_Item_15._Exhibit_and_Financial_Statement_Schedules.txt,15694,2010,1,0,False
4 PART IV,Section_2_Item_16._Form_10-K_Summary,Section_2_Item_16._Form_10-K_Summary.txt,2543,342,0,0,False
